[PDDLego+] Trial 6 (Attempt 1) | Model: Qwen/Qwen3-32B | Failed: Request timed out.
[PDDLego+] Trial 10 (Attempt 1) | Model: Qwen/Qwen3-32B | Failed: Request timed out.
[PDDL_Unit_action] Trial 0 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 91 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 92 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 92 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 93 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 93 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 94 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 94 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 96 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 96 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 97 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 97 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 98 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 98 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 99 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 99 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 100 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 100 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 101 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 101 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 102 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 102 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 103 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 103 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 104 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 104 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 105 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 105 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 106 (Attempt 1) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDL_Unit_action] Trial 106 (Attempt 2) | Model: Qwen/Qwen3-32B | Mode: action | Goal Type: detailed | Failed: tuple indices must be integers or slices, not str
[PDDLego+] Trial 29 (Attempt 1) | Model: Qwen/Qwen3-32B | Failed: Request timed out.
[PDDLego+] Trial 50 (Attempt 1) | Model: Qwen/Qwen3-32B | Failed: Request timed out.
[PDDLego+] Trial 50 (Attempt 2) | Model: Qwen/Qwen3-32B | Failed: Request timed out.
[PDDLego+] Trial 68 (Attempt 1) | Model: Qwen/Qwen3-32B | Failed: Request timed out.
[PDDLego+] Trial 68 (Attempt 2) | Model: Qwen/Qwen3-32B | Failed: Request timed out.
[PDDLego+] Trial 72 (Attempt 1) | Model: Qwen/Qwen3-32B | Failed: Request timed out.
[PDDLego+] Trial 99 (Attempt 1) | Model: Qwen/Qwen3-32B | Failed: Request timed out.
